#Table1
ra,dec,z
121.75331,6.1989312,0.0145575
121.77085,9.2386893,0.01789542
121.77578,26.969453,0.0256669
121.77666,7.8829025,0.01545071
121.77777,18.763137,0.01591763
121.79575,45.810352,0.02932
121.79784,22.290141,0.0226343
121.80126,14.985203,0.02920879
121.80176,39.863902,0.01328353
121.80349,7.0170692,0.01512564
121.80743,51.154802,0.01787722
121.81911,14.95093,0.02947845
121.82197,8.8690674,0.02960573
121.83439,51.1316,0.01753317
121.83538,44.390254,0.02273636
121.83661,15.026763,0.02961812
121.83919,40.398322,0.02635795
121.8408,17.751969,0.01718297
121.85013,39.464041,0.02437479
121.85341,6.8632091,0.01501067
121.85344,39.194487,0.01305732
121.86495,25.134027,0.02068514
121.86516,25.113666,0.02015116
121.87595,51.293847,0.0182367
121.87884,14.933521,0.0282222
121.88007,46.224202,0.02380868
121.88061,55.895078,0.02921746
121.88351,38.550095,0.02232049
121.88464,14.934397,0.02967112
121.91009,8.9401396,0.02982073
121.91058,22.286216,0.02062309
121.91164,18.483287,0.02847927
121.9143,56.92501,0.01832291
121.91492,15.08448,0.02851897
121.92075,14.943251,0.02870801
121.92081,39.004246,0.02334527
121.92857,40.178833,0.02125161
121.94245,26.257411,0.02598232
121.95528,40.09986,0.02116582
121.96058,56.693486,0.02971224
121.96219,26.291559,0.0261343
121.9698,14.147353,0.02905406
121.97123,18.911792,0.01564719
121.97182,55.137021,0.01389246
121.97469,17.814453,0.01691541
121.97778,14.178836,0.02911584
121.98498,17.808676,0.01693205
121.98502,26.240631,0.02491065
121.98826,34.22734,0.02177659
121.99061,26.02934,0.01413874
121.99119,26.031536,0.01418726
121.99159,40.180268,0.01779952
121.99166,34.244245,0.02244412
121.99207,5.2066216,0.02916513
121.99536,18.81829,0.01528547
122.00278,39.162996,0.0127495
122.00446,57.235404,0.02738128
122.02554,14.837745,0.02849707
122.03611,22.313044,0.01500369
122.03995,39.157425,0.0130668
122.03996,37.921325,0.02235493
122.04345,37.762922,0.0218013
122.04375,53.091657,0.01905377
122.052,39.660405,0.0129214
122.05745,6.8084438,0.01546846
122.07064,25.42581,0.02208963
122.0792,24.133987,0.01560867
122.07956,37.445491,0.02778234
122.08451,39.023615,0.02249208
122.10954,26.004668,0.02551295
122.10963,23.626472,0.01552568
122.11549,26.372557,0.02729345
122.1182,38.151846,0.02121756
122.12687,39.893064,0.02087267
122.12766,19.20849,0.02718482
122.13066,37.586578,0.0218943
122.13348,18.205968,0.0169717
122.13519,38.905322,0.01243441
122.14483,37.174963,0.02117276
122.15377,39.209667,0.02361016
122.15538,39.90404,0.02130158
122.16798,53.273077,0.01800528
122.1703,18.086403,0.01630725
122.17805,46.308089,0.02363327
122.1786,56.592234,0.02736625
122.18626,56.592358,0.0272113
122.19097,18.19421,0.01734336
122.19509,28.07898,0.01871277
122.19629,42.304295,0.01320595
122.19722,37.075961,0.02760438
122.21215,40.168139,0.02081139
122.23374,17.682885,0.01610023
122.2389,26.642975,0.02185685
122.24495,39.858079,0.02083574
122.25562,5.3090864,0.0280364
122.25784,53.449043,0.01827425
122.26176,50.178698,0.01677579
122.26516,24.185202,0.02981731
122.27075,32.319609,0.02440579
122.27395,50.20189,0.01667356
122.30825,16.987564,0.01618256
122.31358,15.72727,0.01100976
122.33195,30.210724,0.02396294
122.3402,5.6154512,0.02743125
122.34474,23.557173,0.01557566
122.35323,52.479392,0.02366476
122.35485,50.264923,0.01637689
122.36345,43.934917,0.02296313
122.36421,43.935615,0.02316759
122.3707,57.561808,0.02711654
122.37476,25.829877,0.02484816
122.38421,26.283397,0.02542418
122.40008,46.131667,0.01589171
122.40211,55.854291,0.02852458
122.40221,56.532739,0.02756709
122.41421,13.989369,0.02619187
122.41489,57.524662,0.02523415
122.42214,22.560301,0.01605285
122.43976,25.880338,0.02510662
122.44744,21.621551,0.01111477
122.46354,47.273724,0.01964085
122.47302,29.284713,0.02813169
122.48033,40.467781,0.02075193
122.49018,30.60357,0.01892186
122.49051,18.684038,0.01645661
122.49981,40.103185,0.02044818
122.50261,36.790879,0.01325838
122.50353,18.004461,0.01642082
122.50386,24.896767,0.02226009
122.5115,19.362426,0.01484654
122.51211,22.773101,0.01568918
122.52528,24.922096,0.01402994
122.52917,18.638355,0.01626238
122.53086,56.130119,0.02822284
122.53916,5.2971198,0.0289464
122.54127,25.084969,0.02827546
122.54146,24.88638,0.01365099
122.54611,39.778879,0.0282353
122.5468,24.893054,0.01392549
122.55074,22.772292,0.01559374
122.55638,24.226948,0.02997898
122.56477,33.959741,0.0175046
122.56978,46.403336,0.02931914
122.57257,25.052327,0.02776942
122.57591,14.836208,0.02869605
122.58516,7.9362534,0.02951322
122.58814,34.032982,0.01785662
122.58922,25.122298,0.02769466
122.6015,39.285411,0.02366886
122.60495,34.004321,0.01740089
122.60836,57.752399,0.01796447
122.61417,23.453076,0.0150904
122.6182,14.125343,0.02231167
122.6254,7.2323577,0.01720584
122.63857,52.560628,0.01848531
122.63987,5.3505336,0.0269563
122.64143,7.0272076,0.01526166
122.64207,5.3857833,0.02771602
122.65806,51.772361,0.02245004
122.66975,24.589802,0.02862168
122.67329,56.092944,0.02755714
122.67629,57.229301,0.02621225
122.67636,57.231956,0.02643223
122.67779,57.228641,0.02597148
122.67982,29.468514,0.01958318
122.68003,52.52216,0.01893494
122.68066,19.786298,0.01554731
122.68357,7.4728405,0.01509105
122.69045,46.915307,0.01018832
122.69916,46.912257,0.01042284
122.70079,5.7778121,0.0287024
122.71112,44.929653,0.01405052
122.72442,55.734996,0.01164551
122.73388,36.829331,0.02141223
122.73564,25.684707,0.02540985
122.73575,43.770071,0.02111356
122.73766,56.767872,0.02811572
122.73856,26.304982,0.02629892
122.73897,36.831065,0.02162844
122.74059,41.229806,0.01497732
122.75532,40.056841,0.02618008
122.75934,27.076419,0.01880912
122.76349,45.531036,0.0157459
122.76362,57.029216,0.02804166
122.76984,6.2986035,0.0145131
122.77933,36.598856,0.02149226
122.78337,26.316051,0.02609292
122.78411,45.456933,0.02334544
122.7911,45.663563,0.02291932
122.79353,45.666463,0.02310938
122.79677,45.662093,0.02283311
122.80099,25.206973,0.01347524
122.8062,25.206872,0.01360745
122.81634,25.179368,0.01371489
122.8211,16.939441,0.01588442
122.82293,29.508921,0.01990372
122.8412,36.9471,0.02986812
122.84765,55.840732,0.02334699
122.85138,43.290923,0.01733183
122.8562,8.8939344,0.01969616
122.8627,29.480886,0.02000616
122.86277,8.9410278,0.01949961
122.88643,32.062259,0.02694926
122.90687,-7.8256466,0.01026537
122.91505,16.389807,0.02894992
122.92827,26.320905,0.02621241
122.93876,23.473812,0.01573402
122.95239,45.826345,0.01585946
122.97297,57.951888,0.02775008
122.97734,30.975352,0.02202265
122.98511,56.979007,0.0271887
122.98595,57.51726,0.02550852
122.98719,26.056076,0.02641511
122.98965,47.004823,0.01145046
123.00142,19.363172,0.02776399
123.00378,20.660708,0.01053344
123.0041,19.36205,0.02795561
123.00417,56.782976,0.02826592
123.00702,19.36704,0.02910426
123.0165,5.4750707,0.02994445
123.01823,57.91704,0.02655996
123.02061,19.640803,0.01309463
123.02803,33.390929,0.01736545
123.03511,52.91128,0.01880353
123.03641,57.908482,0.02602021
123.03966,52.455235,0.01873786
123.04209,52.455571,0.01866619
123.05181,29.428307,0.01979719
123.05587,26.267425,0.02455541
123.05718,39.932683,0.01544835
123.05751,30.484798,0.0189549
123.05899,20.314936,0.01550057
123.0595,4.0732702,0.01487738
123.06021,50.624863,0.01712332
123.06107,14.700429,0.02901377
123.06177,35.157051,0.01749215
123.06447,26.202549,0.02507482
123.06523,26.201203,0.02483082
123.06659,39.353969,0.02125098
123.0691,57.975258,0.02642438
123.08263,47.705093,0.01872392
123.09223,36.283633,0.0236042
123.10134,40.743083,0.02358194
123.10167,40.743809,0.02347464
123.10175,31.866001,0.01955126
123.10305,57.89068,0.02580874
123.10628,22.606311,0.01566649
123.11224,57.835918,0.02664335
123.13276,55.303364,0.0297857
123.14388,57.96069,0.02738823
123.14906,10.9784,0.01820637
123.15731,58.191079,0.0284096
123.15883,50.136283,0.01964533
123.16045,46.313664,0.02228425
123.16691,25.241887,0.0277623
123.18137,55.639814,0.0237049
123.18466,22.907373,0.0143874
123.18787,19.109814,0.02851173
123.19348,26.364953,0.02075161
123.19354,26.361777,0.02094134
123.19787,44.357364,0.02304917
123.19814,9.3866015,0.02946054
123.19927,22.280246,0.01645387
123.21071,57.921537,0.02686397
123.2249,22.365458,0.01637501
123.22564,55.672065,0.01176654
123.22596,58.179485,0.02853827
123.24305,57.883635,0.02719423
123.24571,57.513396,0.02658728
123.24581,14.968491,0.02891761
123.2562,15.709183,0.02105583
123.26059,55.038576,0.02446584
123.26533,24.558407,0.02076718
123.26534,24.567013,0.0204859
123.27283,51.409345,0.01307727
123.28123,58.049707,0.02630348
123.28808,54.637427,0.02444479
123.2971,54.711278,0.02441149
123.30132,40.419556,0.02603314
123.30655,24.608163,0.02055909
123.30766,40.417952,0.02609958
123.30913,52.458735,0.01834342
123.30981,18.258798,0.01763027
123.32063,22.648304,0.02222399
123.32169,58.361535,0.02549898
123.32178,58.010518,0.02609641
123.32634,34.932511,0.01744311
123.32838,28.42871,0.02933712
123.3339,57.855141,0.02706407
123.33803,57.852254,0.02666728
123.33992,7.4915429,0.02974054
123.3549,22.638058,0.02199566
123.35534,31.945609,0.01358272
123.35587,7.4837445,0.0298167
123.359,35.973921,0.02112971
123.3692,27.326251,0.0192397
123.37844,57.846853,0.02671498
123.37917,12.09876,0.02176044
123.38556,58.136269,0.02552343
123.3924,31.547818,0.01952992
123.39292,17.670417,0.01379784
123.41456,36.709599,0.01296553
123.41465,58.135248,0.02702749
123.4163,58.225132,0.02899668
123.42114,22.070297,0.02238846
123.422,56.910992,0.02896548
123.42373,56.908949,0.02885482
123.42804,31.075813,0.02191548
123.43741,44.114495,0.01559036
123.44265,52.865449,0.01829949
123.44381,27.77205,0.0174642
123.44446,3.5930192,0.0290865
123.44583,58.0805,0.02753037
123.45069,37.83548,0.02944921
123.45099,20.712638,0.01525492
123.4538,52.655148,0.01906504
123.45408,57.150863,0.0273799
123.45427,57.567011,0.02625112
123.45559,57.72574,0.0261947
123.45725,26.254888,0.02673384
123.47495,58.35406,0.02700568
123.47698,52.650888,0.01888316
123.47854,25.819521,0.02390866
123.48196,52.648295,0.01866826
123.48397,18.486122,0.01730882
123.4865,39.103063,0.01822616
123.48852,52.64847,0.01820463
123.49407,57.329883,0.02570511
123.49684,58.250529,0.02596973
123.50059,25.025479,0.02791773
123.51574,23.891385,0.01988286
123.52302,39.673292,0.02833226
123.52713,57.586775,0.02839661
123.52996,25.246726,0.02489476
123.53038,23.71194,0.02056835
123.53068,25.245875,0.02490958
123.54136,57.411945,0.0274598
123.542,45.479008,0.01608166
123.54574,18.43928,0.01766405
123.55814,21.359815,0.01067392
123.55873,21.43573,0.01585581
123.55953,28.65835,0.01981951
123.56424,58.199707,0.02548378
123.56866,18.440676,0.01711383
123.56877,58.168639,0.02706568
123.57585,58.382404,0.02662673
123.58046,58.261954,0.0251088
123.5854,57.875182,0.02678787
123.59177,39.251353,0.02766995
123.60105,44.391001,0.02400859
123.6036,58.297958,0.02653233
123.61131,24.734612,0.01355015
123.61962,25.278637,0.01563956
123.62513,43.143426,0.02285586
123.62652,57.168029,0.02599252
123.63894,54.799575,0.01171486
123.6394,58.148098,0.02818102
123.64482,58.275,0.02924033
123.6493,58.366062,0.02926135
123.65464,58.331288,0.02786236
123.65587,15.221141,0.02878468
123.6586,15.27905,0.02889525
123.66201,44.394614,0.02359891
123.66624,58.027097,0.0267244
123.6736,58.225214,0.02688059
123.67555,44.305559,0.02409032
123.68653,58.279857,0.02750051
123.69026,57.972313,0.02882458
123.6964,24.753436,0.02860458
123.69832,58.208888,0.02503143
123.70189,25.921346,0.02094703
123.70664,52.091882,0.015755
123.70857,57.931508,0.02736055
123.71505,6.1747458,0.01427195
123.72503,56.71715,0.02906107
123.74278,58.167867,0.0283572
123.74945,58.383927,0.02752979
123.74958,57.523247,0.02667633
123.75306,3.6557041,0.02899219
123.76062,7.4079655,0.02435207
123.7624,50.136716,0.01876081
123.76854,25.608667,0.02079316
123.77119,58.3571,0.02603682
123.78179,52.577728,0.01853173
123.78543,58.682491,0.0269259
123.79547,15.619101,0.02933223
123.80021,24.389643,0.02972319
123.80219,25.537129,0.02144239
123.80677,25.939891,0.02085579
123.81269,12.608471,0.02706867
123.81786,57.99131,0.02831206
123.82575,14.738686,0.01356219
123.83468,58.089714,0.02905367
123.83892,21.558179,0.01428173
123.84317,44.06449,0.02029655
123.84752,28.73535,0.0197367
123.84756,58.394445,0.02602209
123.84893,45.584495,0.01980769
123.85672,58.178951,0.02693418
123.86013,17.850311,0.02894456
123.86598,58.249207,0.02670874
123.86735,57.651024,0.02663415
123.87109,8.3452605,0.02998124
123.87202,26.150978,0.02108964
123.87282,29.82173,0.0199045
123.88711,57.66826,0.02627167
123.90728,25.849908,0.02091947
123.90848,21.260342,0.01159495
123.91113,58.29685,0.02657295
123.91562,39.263087,0.01395136
123.91716,42.883271,0.02259178
123.9197,27.008027,0.0251852
123.92539,25.112877,0.01555017
123.92594,57.345149,0.02682426
123.92681,58.179164,0.02769454
123.92725,27.708816,0.02752613
123.93256,21.131491,0.01391104
123.93568,40.003311,0.02629386
123.93573,23.927738,0.01375507
123.93685,58.321003,0.02705388
123.95453,25.78373,0.02476285
123.95708,42.518566,0.0226377
123.96423,58.577857,0.02649919
123.9879,31.539175,0.02162377
123.99175,35.784865,0.01319548
123.99271,58.392188,0.02548639
123.99538,58.345168,0.02872958
123.99624,23.199625,0.01432535
124.0033,27.075873,0.02549639
124.00539,28.627585,0.01961903
124.00796,58.330865,0.02573806
124.00815,57.959463,0.02754292
124.00904,28.62474,0.01992154
124.01782,58.071036,0.02464846
124.02003,23.134019,0.01379689
124.04168,58.366162,0.0255464
124.04244,49.261216,0.02711198
124.04749,43.438411,0.0249612
124.04945,33.93884,0.01773591
124.05102,31.441339,0.02037618
124.0556,16.332235,0.02308454
124.0561,49.540385,0.0113962
124.05717,25.076099,0.01561363
124.06205,57.709334,0.02638999
124.06303,58.589736,0.02632544
124.0641,57.530548,0.02718242
124.06692,58.29838,0.02710926
124.07151,58.817844,0.02675059
124.07701,52.421943,0.01816195
124.08143,41.716259,0.02487058
124.08148,52.422073,0.01807186
124.08204,39.21129,0.02808758
124.08283,43.447637,0.02419825
124.09074,29.994177,0.01308858
124.09279,17.905119,0.02877653
124.10294,18.1471,0.02724396
124.10372,21.314441,0.01184702
124.10422,19.270686,0.02665108
124.10467,43.971879,0.02005539
124.10924,15.649189,0.0220674
124.10962,23.142528,0.01381743
124.11302,21.596413,0.02821543
124.11458,58.09025,0.02749449
124.11776,24.656355,0.02053926
124.11781,23.81082,0.01387351
124.1206,45.637769,0.02262215
124.13398,23.632975,0.01319266
124.13524,57.557468,0.02659275
124.136,58.274874,0.02739838
124.14117,21.409876,0.01561701
124.14186,57.994384,0.02853477
124.14347,24.493734,0.02967701
124.14522,57.051039,0.02891726
124.14567,56.010574,0.02711978
124.17703,31.839331,0.02053671
124.18066,54.483014,0.02496115
124.18113,54.483499,0.02498311
124.18216,58.43609,0.02721014
124.18611,27.009605,0.02277103
124.18843,23.366595,0.01422095
124.18961,24.780233,0.02488635
124.19899,33.058395,0.01741489
124.21598,58.238181,0.02612403
124.21917,5.6470277,0.01424764
124.22052,58.505992,0.02580845
124.23986,20.512274,0.01446021
124.24038,20.252888,0.01660991
124.24625,33.984804,0.01474683
124.24627,26.674125,0.02036483
124.25357,58.483945,0.02702884
124.25942,15.629546,0.01903999
124.26393,10.726975,0.015209
124.26519,42.378247,0.01877338
124.26763,28.315082,0.02008821
124.26845,23.954773,0.01371986
124.2831,14.191446,0.02931793
124.28683,24.142152,0.01427461
124.2921,37.717165,0.0237806
124.29633,44.777188,0.0278054
124.30558,38.012552,0.02975537
124.31146,16.780323,0.02817815
124.31628,56.905171,0.02914999
124.32143,58.056668,0.02525107
124.33717,28.318333,0.02000328
